Time,evapo temperature,evapo relative humidity,compressor power
1.033250000000000000e+03,1.746578374350470142e+01,4.502882060147840093e+01,3.448208844054530005e+02
1.033500000000000000e+03,1.751888662245909956e+01,4.479897130905150249e+01,3.501582320586010155e+02
1.033750000000000000e+03,1.756612811590130008e+01,4.458779145759550033e+01,3.554955782973689793e+02
1.034000000000000000e+03,1.760783981138089871e+01,4.439434503194989645e+01,3.608048388119379979e+02
1.034250000000000000e+03,1.764395230679360083e+01,4.421930658693239735e+01,3.660655749515220236e+02
1.034500000000000000e+03,1.767397790049750128e+01,4.406503735891099893e+01,3.712685086757049930e+02
1.034750000000000000e+03,1.769940311252770115e+01,4.392595657476889670e+01,3.763597463941910064e+02
1.035000000000000000e+03,1.772052632980030040e+01,4.380127272242329894e+01,3.813185830725910250e+02
1.035250000000000000e+03,1.773762982761829932e+01,4.369026298807010278e+01,3.861296513557300045e+02
1.035500000000000000e+03,1.775098004305599986e+01,4.359226839006910126e+01,3.907828809047230152e+02
1.035750000000000000e+03,1.776082846340590038e+01,4.350668546719389695e+01,3.952730446243530196e+02
1.036000000000000000e+03,1.776755287643450032e+01,4.343541766783930314e+01,3.995427462595080215e+02
1.036250000000000000e+03,1.777149003642220038e+01,4.337674746804489700e+01,4.035913962117679716e+02
1.036500000000000000e+03,1.777289851255009978e+01,4.332898677430929979e+01,4.074282093905089823e+02
1.036750000000000000e+03,1.777198256361110040e+01,4.329085817029469752e+01,4.110651062222750056e+02
1.037000000000000000e+03,1.776890776941419858e+01,4.326141140183219846e+01,4.145166827765979747e+02
1.037250000000000000e+03,1.776381219618459895e+01,4.323994990404840166e+01,4.177998510352520043e+02
1.037500000000000000e+03,1.775681491395409850e+01,4.322596608741960011e+01,4.209331273262930040e+02
1.037750000000000000e+03,1.774802239862540176e+01,4.321908602158860191e+01,4.239357218129840135e+02
1.038000000000000000e+03,1.773753321296510066e+01,4.321902388889200353e+01,4.268265834217230008e+02
1.038250000000000000e+03,1.772519472660030004e+01,4.322625693243480072e+01,4.296418855099499865e+02
1.038500000000000000e+03,1.770964078922400020e+01,4.324477925462539929e+01,4.325061367977319833e+02
1.038750000000000000e+03,1.769271938360990148e+01,4.326932130036300350e+01,4.353021234645480035e+02
1.039000000000000000e+03,1.767452220317600009e+01,4.329966971890389971e+01,4.380407889821719891e+02
1.039250000000000000e+03,1.765513966314840033e+01,4.333560128219389895e+01,4.407305381648980074e+02
1.039500000000000000e+03,1.763466073830510084e+01,4.337688035339859738e+01,4.433773833364480197e+02
1.039750000000000000e+03,1.761317263122539956e+01,4.342325922157589702e+01,4.459852216954760138e+02
1.040000000000000000e+03,1.759076036420430000e+01,4.347448027263190085e+01,4.485561947159300189e+02
1.040250000000000000e+03,1.756750636365600116e+01,4.353027915328460296e+01,4.510910832978059943e+02
1.040500000000000000e+03,1.754349008427870160e+01,4.359038828993830350e+01,4.535897007631559745e+02
1.040750000000000000e+03,1.751878770156659826e+01,4.365454031596730289e+01,4.560512556834070210e+02
1.041000000000000000e+03,1.749347188541570119e+01,4.372247111274219833e+01,4.584746643337859950e+02
1.041250000000000000e+03,1.746762042962069827e+01,4.379392491410939670e+01,4.608586882285330262e+02
1.041500000000000000e+03,1.744343997208470043e+01,4.386928739107079878e+01,4.631745963584099854e+02
1.041750000000000000e+03,1.741882599170759960e+01,4.394798361969620260e+01,4.654420799876659771e+02
1.042000000000000000e+03,1.739389568261410091e+01,4.403112039649550269e+01,4.676234936715039794e+02
1.042250000000000000e+03,1.736877915714979892e+01,4.411775877447659866e+01,4.697147617844919978e+02
1.042500000000000000e+03,1.734339586214240114e+01,4.420756258141619810e+01,4.716992101597310239e+02
1.042750000000000000e+03,1.731742623346150012e+01,4.430080586844930224e+01,4.735375182024969831e+02
1.043000000000000000e+03,1.729088956304629932e+01,4.439698423170260355e+01,4.752072018465989913e+02
1.043250000000000000e+03,1.726381081540809959e+01,4.449589034836699852e+01,4.767077155312350101e+02
1.043500000000000000e+03,1.723622930739119852e+01,4.459745453081769995e+01,4.780525447094360061e+02
1.043750000000000000e+03,1.720828913638759872e+01,4.470173403926529687e+01,4.792894962123119740e+02
1.044000000000000000e+03,1.718008531270389838e+01,4.480858652470379866e+01,4.804628091268399999e+02
1.044250000000000000e+03,1.715170299065290038e+01,4.491794930018109966e+01,4.816168120951130049e+02
1.044500000000000000e+03,1.712323592485279988e+01,4.502973340987850293e+01,4.827893625459989835e+02
1.044750000000000000e+03,1.709478315529390002e+01,4.514374887446970064e+01,4.840070421319629759e+02
1.045000000000000000e+03,1.706644395604079989e+01,4.525969241431739931e+01,4.852839111239110252e+02
1.045250000000000000e+03,1.703831330891039997e+01,4.537716831877980184e+01,4.866226496242960025e+02
1.045500000000000000e+03,1.700760453183130139e+01,4.550192523780469855e+01,4.881723879289029924e+02
1.045750000000000000e+03,1.697782474480679937e+01,4.562551216949370314e+01,4.896536349223050024e+02
1.046000000000000000e+03,1.694915222764590013e+01,4.574653456120900330e+01,4.910253467423110010e+02
1.046250000000000000e+03,1.691997411629079906e+01,4.586553170569629856e+01,4.923422634117000030e+02
1.046500000000000000e+03,1.689165633595800031e+01,4.598142793786139748e+01,4.935610388295700091e+02
1.046750000000000000e+03,1.686450602582490177e+01,4.609401655800849795e+01,4.946890202459820216e+02
1.047000000000000000e+03,1.683848766100729932e+01,4.620339394301949909e+01,4.957510067251540136e+02
1.047250000000000000e+03,1.681356518856449966e+01,4.630967823270979977e+01,4.967721303153829808e+02
1.047500000000000000e+03,1.678970449846039870e+01,4.641297668430539858e+01,4.977752084042130036e+02
1.047750000000000000e+03,1.676708279202919982e+01,4.651272343461830161e+01,4.987820153411980186e+02
1.048000000000000000e+03,1.674563364211280003e+01,4.660908796682920041e+01,4.998065347637049740e+02
1.048250000000000000e+03,1.672515668905129971e+01,4.670263548242370177e+01,5.008564625804439743e+02
1.048500000000000000e+03,1.670562362969170067e+01,4.679338091378080122e+01,5.019378172151889999e+02
1.048750000000000000e+03,1.668700472564750115e+01,4.688133326192679817e+01,5.030533901765509768e+02
1.049000000000000000e+03,1.666926808496490153e+01,4.696650372118239858e+01,5.042036073354860264e+02
1.049250000000000000e+03,1.665237930934859989e+01,4.704891198194909663e+01,5.053873457369090261e+02
1.049500000000000000e+03,1.663630145670559912e+01,4.712859037181559785e+01,5.066026186178029889e+02
1.049750000000000000e+03,1.662143286518449870e+01,4.720574553674150309e+01,5.080497113874969841e+02
1.050000000000000000e+03,1.660803738200489832e+01,4.727954651303730316e+01,5.097834357847589786e+02
1.050250000000000000e+03,1.659547086285810025e+01,4.726175359597319670e+01,5.109271958029970051e+02
1.050500000000000000e+03,1.658446421728909925e+01,4.715318336706410207e+01,5.113232340269880183e+02
1.050750000000000000e+03,1.657500653763559839e+01,4.695862948814509963e+01,5.109106126033530018e+02
1.051000000000000000e+03,1.656650814601659860e+01,4.668555671876760016e+01,5.097123431481359717e+02
1.051250000000000000e+03,1.655799235865249841e+01,4.634318517570019935e+01,5.078168080102610134e+02
1.051500000000000000e+03,1.654864501066349902e+01,4.594184488147919865e+01,5.055354920357260085e+02
1.051750000000000000e+03,1.653867874815540162e+01,4.549040512600110020e+01,5.034787785170599932e+02
1.052000000000000000e+03,1.652831380675700146e+01,4.499376599920989861e+01,5.018617304561370247e+02
1.052250000000000000e+03,1.651464646500960143e+01,4.446581572106889979e+01,5.009272893419960155e+02
1.052500000000000000e+03,1.649414697566939836e+01,4.392703763749369728e+01,5.009183053380670003e+02
1.052750000000000000e+03,1.646599354054900033e+01,4.339967197606860339e+01,5.017777075082830152e+02
1.053000000000000000e+03,1.643035007776880008e+01,4.288579432662849911e+01,5.034829112767370134e+02
1.053250000000000000e+03,1.638831455127129999e+01,4.240161894034820023e+01,5.051928809515359831e+02
1.053500000000000000e+03,1.633603791710600106e+01,4.199772449499049998e+01,5.069449483423160245e+02
1.053750000000000000e+03,1.627041846699979999e+01,4.173113895938590190e+01,5.089714838019889953e+02
1.054000000000000000e+03,1.618710922858009837e+01,4.160576877145319941e+01,5.111703855263900209e+02
1.054250000000000000e+03,1.608368426714340060e+01,4.163585915538560300e+01,5.204517795037929773e+02
1.054500000000000000e+03,1.596067930763179987e+01,4.186469352496379770e+01,5.465621608892820404e+02
1.054750000000000000e+03,1.580118032619169988e+01,4.232294670144030135e+01,5.877339818464339487e+02
